idioma,traduccion
I had no alternative.,No tuve alternativa.
I had no time to eat.,No me ha dado tiempo a comer.
I had to let Tom win.,Tuve que dejar que Tom ganara.
I had to let Tom win.,Tuve que dejar ganar a Tom.
I hate Tom's parents.,Odio a los padres de Tom.
I hate cops like him.,Odio a los policías como él.
I hate jealous women.,Odio a las mujeres celosas.
I hate playing cards.,Odio los juegos de cartas.
I hate playing cards.,Detesto los juegos de cartas.
I hate playing cards.,Odio jugar a las cartas.
I hate playing cards.,Detesto jugar a las cartas.
I hate silent movies.,Me apesta el cine mudo.
I hate silent movies.,Me carga ver cine mudo.
I have a better idea.,Tengo una idea mejor.
I have a big problem.,Tengo un gran problema.
I have a big problem.,Tengo un quilombo de novela.
I have a green shirt.,Tengo una camisa verde.
I have a job for you.,Tengo un trabajo para ti.
I have a job for you.,Tengo un trabajo para vosotros.
I have a new bicycle.,Tengo una bicicleta nueva.
I have a new red car.,Tengo un coche rojo nuevo.
I have a red bicycle.,Tengo una bicicleta roja.
I have a sharp knife.,Tengo un cuchillo afilado.
I have a small fever.,Tengo un poco de fiebre.
I have a sore throat.,Me duele la garganta.
I have a stomachache.,Me duele el estómago.
I have a stomachache.,Me duele mi estomago.
I have a stomachache.,Me duele la tripa.
I have a stomachache.,Tengo dolor de estómago.
I have a stomachache.,Me duele la panza.
I have a twin sister.,Tengo una hermana gemela.
I have a wooden comb.,Tengo un peine de madera.
I have back problems.,Tengo problemas de espalda.
I have been in Paris.,Estuve en París.
I have been in Paris.,He estado en París.
I have been in Paris.,He ido a París.
I have been to India.,He estado en la India.
I have been to Kyoto.,He estado en Kioto.
I have been to Paris.,He estado en París.
I have been to Paris.,He ido a París.
I have bleeding gums.,Tengo encías sangrantes.
I have caught a cold.,Me agarré un resfriado.
I have caught a cold.,Pesqué un resfrío.
I have cut my finger.,Me he cortado el dedo.
I have cut my finger.,Me corté el dedo.
I have four brothers.,Tengo cuatro hermanos.
I have gained weight.,He ganado peso.
I have good eyesight.,Tengo buena vista.
I have got to go now.,Ahora tengo que irme.
I have got to go now.,Tengo que irme ahora.
I have got to go now.,Ahora me tengo que ir.
I have lost my watch.,He perdido mi reloj.
I have misjudged you.,Te juzgué mal.
I have misjudged you.,Te he juzgado mal.
I have no more ideas.,No tengo más ideas.
I have nothing to do.,No tengo nada que hacer.
I have nowhere to go.,No tengo adónde ir.
I have poor eyesight.,Tengo mala vista.
I have read the book.,Me he leído el libro.
I have seen Mt. Fuji.,Vi el monte Fuji.
I have three cameras.,Yo tengo tres cámaras fotográficas.
I have to get to Tom.,Tengo que localizar a Tom.
I have to go to work.,Debo ir a trabajar.
I have to go to work.,Me tengo que ir a trabajar.
I have to let you go.,Tengo que dejarte ir.
I have to pay for it.,Tengo que pagar por ello.
I have to rent a car.,Tengo que alquilar un coche.
I have to wear boots.,Debo usar botas.
I haven't even begun.,Ni siquiera he comenzado.
