idioma,traduccion
Whoever guesses the number wins.,Gana el que acierte el número.
Whoever guesses the number wins.,"El que adivina el número, gana."
Why are you telling me all this?,¿Por qué me dices todo esto?
Why are you two always fighting?,¿Por qué ustedes dos siempre están peleando?
Why couldn't you come yesterday?,¿Por qué no pudiste venir ayer?
Why did you buy a car like this?,¿Por qué compraste un carro así?
Why did you make such a mistake?,¿Por qué cometiste un error así?
Why did you paint the bench red?,¿Por qué has pintado de rojo el banco?
Why did you spend all the money?,¿Por qué gastaste todo el dinero?
Why did you turn down his offer?,¿Por qué rechazaste su oferta?
Why did you turn down his offer?,¿Por qué has rechazado su oferta?
Why did you want to speak to me?,¿Por qué querías hablar conmigo?
Why didn't he come to the party?,¿Por qué él no vino a la fiesta?
Why didn't you follow my advice?,¿Por qué no seguiste mi consejo?
Why didn't you follow my advice?,¿Porqué no me hiciste caso?
Why didn't you follow my advice?,¿Porqué hiciste caso omiso de lo que te recomendé?
Why didn't you go to the office?,¿Por qué no fuiste a la oficina?
Why do you always do that to me?,¿Por qué siempre me haces eso?
Why do you think Tom was crying?,¿Por qué piensas que Tom estaba llorando?
Why do you want such an old car?,¿Por qué quieres un auto tan viejo?
Why do you want to come with me?,¿Por qué quieres venir conmigo?
Why do you want to go to Boston?,¿Por qué quieres ir a Boston?
Why do you want to study abroad?,¿Por qué quieres estudiar en el extranjero?
Why does Tom want us to do this?,¿Por qué Tom quiere que hagamos esto?
Why does nobody eat my potatoes?,¿Por qué nadie se come mis papas?
Why doesn't Tom like this hotel?,¿Por qué a Tom no le gusta este hotel?
Why doesn't she love me anymore?,¿Por qué ya no me ama?
Why don't the police arrest Tom?,¿Por qué la policía no detiene a Tom?
Why don't we ask for his advice?,¿Por qué no le pedimos consejo?
Why don't we drop by to see her?,¿Por qué no nos pasamos a verla?
Why don't we form a study group?,¿Por qué no hacemos un grupo de estudio?
Why don't we go and see a movie?,¿Por qué no nos vamos a ver una película?
Why don't we take a short break?,¿Por qué no nos tomamos un breve recreo?
Why don't we take a short break?,¿Por qué no hacemos una breve pausa?
Why don't you have a girlfriend?,¿Por qué no tienes novia?
Why don't you make up your mind?,¿Por qué no te decides?
Why don't you run for president?,¿Por qué no te haces candidato a presidente?
Why is my father in the kitchen?,¿Por qué está mi padre en la cocina?
Why should I care what Tom does?,¿Por qué debería preocuparme de qué hace Tom?
Why would Tom want to hurt Mary?,¿Por qué Tom querría lastimar a María?
Why would Tom want to kill Mary?,¿Por qué Tom querría matar a Mary?
Why would they want to harm Tom?,¿Por qué querrían lastimar a Tom?
Why would we want to punish you?,¿Por qué querríamos castigarte?
Wild animals live in the forest.,En el bosque viven animales salvajes.
Wild animals live in the jungle.,Los animales salvajes viven en la jungla.
Will you exchange seats with me?,¿Me cambiarás el sitio?
Will you go on a picnic with me?,¿Vienes conmigo de picnic?
Will you help me clean the room?,¿Me ayudás a limpiar la sala?
Will you help me clean the room?,¿Me ayudarás a limpiar la habitación?
Will you help me move this desk?,¿Me ayudarás a mover este escritorio?
Will you please show me the way?,"¿Podrías enseñarme el camino, por favor?"
Will you sell your house to him?,¿Le vas a vender tu casa a él?
Will you turn on the television?,¿Puedes encender la televisión?
Winning is more fun than losing.,Ganar es más divertido que perder.
Wipe your hands with this towel.,Sécate las manos con esta toalla.
"With your help, we'll catch Tom.",Con tu ayuda atraparemos a Tom.
"With your help, we'll catch Tom.",Con vuestra ayuda atraparemos a Tom.
Won't you come over to my place?,¿No quieres venir a mi casa?
Won't you have some more coffee?,¿No quiere más café?
Won't you join our conversation?,¿No te unes a nuestra conversación?
Won't you speak to Tom about it?,¿No hablarás con Tom al respecto?
Won't you speak to Tom about it?,¿No hablará con Tom al respecto?
Won't you speak to Tom about it?,¿No hablaráis con Tom al respecto?
Won't you speak to Tom about it?,¿No hablarán con Tom al respecto?
Would this be acceptable to you?,¿Sería esto aceptable para ti?
Would you care for more cookies?,¿Quieres más galletas?
Would you give me Tom's address?,¿Me darías la dirección de Tom?
Would you like a cup of tea now?,¿Le gustaría ahora una taza de té?
