idioma,traduccion
What is the good of doing it?,¿Cuál es la ventaja de hacerlo?
What is the president's plan?,¿Cuál es el plan del presidente?
What is this object used for?,¿Para qué se utiliza este objeto?
What is your favorite animal?,¿Cuál es tu animal favorito?
What kind of English is that?,¿Qué clase de inglés es ese?
What kind of food do you eat?,¿Qué tipo de comida tomas?
What kind of food do you eat?,¿Qué clase de comida comes?
What more can a girl ask for?,¿Qué más puede pedir una chica?
What other choice did I have?,¿Qué otra opción tenía?
What other options do I have?,¿Qué otras opciones tengo?
What shall we have for lunch?,¿Qué vamos a almorzar?
What she said made him angry.,Él se enfadó por lo que ella dijo.
What sound does a sheep make?,¿Qué sonido hacen las ovejas?
What time do you arrive home?,¿A qué hora llegas a casa?
What time do you finish work?,¿A qué hora terminas de trabajar?
What time do you get to work?,¿A qué hora vas a trabajar?
What time do you have dinner?,¿A qué hora cenas?
What time do you have dinner?,¿A qué hora cenan ustedes?
What time do you take a bath?,¿A qué hora te bañas?
What time does the bank open?,¿A qué hora abre el banco?
What time does the bus leave?,¿A qué hora sale el bus?
What time does the club open?,¿A qué hora abre el club?
What usually causes the pain?,¿Qué es lo que causa dolor normalmente?
What were they arguing about?,¿Sobre qué estaban discutiendo?
What were they talking about?,¿De qué estaban hablando ellos?
What would Tom want that for?,¿Para qué querría eso Tom?
What would you do without me?,¿Qué harías tú sin mí?
What would you like to drink?,¿Qué desea beber?
What would your father think?,¿Qué pensaría tu padre?
What you say is usually true.,"Normalmente, lo que dices es verdad."
What's Tom talking about now?,¿De qué está hablando Tom ahora?
What's going on in this town?,¿Qué pasa en esta ciudad?
What's going to happen today?,¿Qué va a pasar hoy?
What's happened to the light?,¿Qué ha pasado con la luz?
What's his most recent novel?,¿Cuál es su novela más reciente?
What's more important to you?,¿Qué es más importante para ti?
What's so strange about that?,¿Qué es tan extraño acerca de eso?
What's the name of your ship?,¿Cuál es el nombre de tu barco?
What's the scale of this map?,¿A qué escala está este mapa?
What's the secret ingredient?,¿Cuál es el ingrediente secreto?
What's the secret to success?,¿Cuál es el secreto del éxito?
What's this chair doing here?,¿Qué está haciendo esta silla aquí?
What's today's exchange rate?,¿Cuál es el tipo de cambio de hoy?
What's your favorite climate?,¿Cuál es tu clima favorito?
What's your favorite dessert?,¿Cuál es tu postre favorito?
What's your favorite pastime?,¿Cuál es tu pasatiempo favorito?
What's your favorite perfume?,¿Cuál es tu perfume preferido?
What's your favorite subject?,¿Cuál es tu materia favorita?
"When I awoke, it was snowing.","Cuando me desperté, estaba nevando."
"When I'm with you, I'm happy.",Cuando estoy contigo estoy feliz.
When are you going to Europe?,¿Cuándo vas a ir a Europa?
When can I see you next time?,¿Cuándo te puedo ver de nuevo?
When did she say those words?,¿Cuándo dijo ella esas palabras?
When did the meeting adjourn?,¿Cuándo se canceló la asamblea?
When did you arrive in Japan?,¿Cuándo llegaste a Japón?
