idioma,traduccion
Tom cooks for us.,Tom nos cocina.
Tom cut Mary off.,Tom cortó a Mary.
Tom detests Mary.,Tom detesta a Mary.
Tom did have fun.,Tom se divirtió.
Tom did have fun.,Tom la pasó bien.
Tom did his part.,Tom hizo su parte.
Tom didn't budge.,Tom no cedió.
Tom didn't do it.,Tom no lo hizo.
Tom didn't drown.,Tomás no se ahogó.
Tom didn't reply.,Tom no respondió.
Tom died from TB.,Tom murió de tuberculosis.
Tom died in 2009.,Tom murió en el 2009.
Tom doesn't know.,Tom no lo sabe.
Tom drinks a lot.,Tom bebe mucho.
Tom felt trapped.,Tom se sintió atrapado.
Tom felt trapped.,Tom se sentía atrapado.
Tom forgave Mary.,Tom perdonó a Mary.
Tom frightens me.,Tom me da miedo.
Tom gave up hope.,Tom abandonó la esperanza.
Tom got into bed.,Tom se metió en la cama.
Tom got very mad.,Tom se enojó mucho.
Tom had a stroke.,Tom tuvo un golpe.
Tom had no money.,Tom no tenía dinero.
Tom had to hurry.,Tom tenía que darse prisa.
Tom has a goatee.,Tom tiene perilla.
Tom has a secret.,Tom guarda un secreto.
Tom has a ticket.,Tom tiene un boleto.
Tom has an alibi.,Tom tiene una coartada.
Tom has freckles.,Tom tiene pecas.
Tom has insomnia.,Tom tiene insomnio.
Tom has met Mary.,Tom conoce a Mary.
Tom has no money.,Tom no tiene dinero.
Tom has no money.,Tom no tiene plata.
Tom has two jobs.,Tom tiene dos trabajos.
Tom hates olives.,Tomás detesta las aceitunas.
Tom hurt himself.,Tom se hizo daño.
Tom hurt his leg.,Tom se lastimó la pierna.
Tom ignored Mary.,Tom ignoró a Mary.
Tom is Mary's ex.,Tom es el ex de Mary.
Tom is a bad boy.,Tom es un chico malo.
Tom is a fascist.,Tom es un fascista.
Tom is a fat man.,Tom es un gordo.
Tom is a fat man.,Tom es un hombre gordo.
Tom is a fighter.,Tom es un luchador.
Tom is a fighter.,Tom es un guerrero.
Tom is a painter.,Tom es pintor.
Tom is a patriot.,Tom es patriota.
Tom is a plumber.,Tom es un plomero.
Tom is a recluse.,Tom es un recluso.
Tom is a redneck.,Tom es campesino.
Tom is a refugee.,Tom es un refugiado.
Tom is a schemer.,Tom es un manipulador.
Tom is a schemer.,Tom es un maquinador.
Tom is a shy boy.,Tom es un chico tímido.
Tom is a student.,Tom es un estudiante.
Tom is a surgeon.,Tom es cirujano.
Tom is a traitor.,Tom es un traidor.
Tom is a trucker.,Tom es camionero.
Tom is a veteran.,Tom es un veterano.
Tom is a widower.,Tom es viudo.
Tom is a witness.,Tom es testigo.
Tom is ambitious.,Tom es ambicioso.
Tom is an animal.,Tom es un animal.
Tom is an orphan.,Tom es un huérfano.
Tom is at school.,Tom está en el colegio.
Tom is attentive.,Tom es atento.
Tom is available.,Tom está disponible.
Tom is breathing.,Tom está respirando.
Tom is brilliant.,Tom es brillante.
Tom is coming to.,Tom está volviendo en sí.
Tom is dangerous.,Tom es peligroso.
Tom is deceitful.,Tom es falso.
Tom is deceitful.,Tom es un embustero.
Tom is desperate.,Tom está desesperado.
Tom is different.,Tom es diferente.
Tom is easygoing.,Tom es relajado.
Tom is eccentric.,Tom es excéntrico.
Tom is emotional.,Tom es emocional.
Tom is energetic.,Tom es enérgico.
Tom is forgetful.,Tom es olvidadizo.
Tom is forgetful.,Tom es despistado.
Tom is from here.,Tomás es de aquí.
Tom is happy now.,Tom es feliz ahora.
Tom is improving.,Tom va mejorando.
Tom is in Boston.,Tomás está en Boston.
Tom is in charge.,Tom está a cargo.
Tom is in danger.,Tom está en peligro.
Tom is in hiding.,Tom se está ocultando.
Tom is insincere.,Tom no es sincero.
Tom is listening.,Tom está escuchando.
Tom is muttering.,Tom está murmurando.
Tom is my cousin.,Tom es mi primo.
Tom is my father.,Tom es mi padre.
Tom is my friend.,Tom es mi amigo.
Tom is my lawyer.,Tom es mi abogado.
Tom is my nephew.,Tom es mi sobrino.
Tom is not happy.,Tom no es feliz.
Tom is obsessive.,Tom es obsesivo.
Tom is offensive.,Tom es ofensivo.
Tom is our enemy.,Tom es nuestro enemigo.
Tom is our guest.,Tom es nuestro invitado.
Tom is perplexed.,Tom está perplejo.
Tom is realistic.,Tom es realista.
Tom is too picky.,Tomás es muy mañoso.
Tom is too young.,Tom es demasiado joven.
Tom is undecided.,Tom está indeciso.
Tom is unmarried.,Tom es soltero.
Tom is very rich.,Tom es muy rico.
Tom is very tall.,Tom es muy alto.
Tom is weakening.,Tom se está debilitando.
Tom is weakening.,Tom se debilita.
Tom is whistling.,Tom está silbando.
Tom is with Mary.,Tom está con Mary.
Tom is wonderful.,Tom es maravilloso.
Tom isn't a fool.,Tom no es un tonto.
Tom isn't a liar.,Tom no es un mentiroso.
Tom isn't boring.,Tom no es aburrido.
Tom isn't crying.,Tom no está llorando.
Tom isn't hungry.,Tomás no tiene hambre.
Tom isn't joking.,Tom no está jodiendo.
Tom isn't my son.,Tom no es mi hijo.
Tom isn't normal.,Tom no es normal.
Tom isn't stupid.,Tom no es estúpido.
Tom isn't up yet.,Tom aún no se levanta.
Tom kept reading.,Tom siguió leyendo.
Tom kept writing.,Tom siguió escribiendo.
Tom knows things.,Tom sabe cosas.
Tom lied to Mary.,Tom le mintió a Mary.
Tom liked horses.,A Tom le gustaban los caballos.
Tom likes cheese.,A Tom le gusta el queso.
Tom likes hockey.,A Tom le gusta el hockey.
Tom likes ponies.,A Tom le gustan los ponis.
Tom likes reggae.,A Tom le gusta el reggae.
Tom lit a candle.,Tomás encendió una vela.
Tom lit the fire.,Tom prendió el fuego.
Tom lit the fire.,Tom encendió el fuego.
Tom lit the oven.,Tom encendió el horno.
Tom looked angry.,Tom parecía enojado.
Tom looked happy.,Tom lucía feliz.
Tom looked young.,Tom parecía joven.
Tom looks fierce.,Tom se ve fiero.
Tom looks gloomy.,Tom parece deprimido.
Tom looks strong.,Tom parece fuerte.
Tom looks winded.,Tom parece exhausto.
Tom looks winded.,Tom parece sin aliento.
Tom lost his dog.,Tom perdió a su perro.
Tom lost his job.,Tom perdió su trabajo.
Tom lost the bet.,Tom perdió la apuesta.
Tom loves horses.,Tom adora los caballos.
Tom loves horses.,A Tom le encantan los caballos.
Tom loves horses.,A Tom le gustan los caballos.
Tom loves skiing.,Tom ama esquiar.
Tom loves sports.,Tom ama los deportes.
Tom loves to eat.,A Tomás le encanta comer.
Tom loves tulips.,A Tomás le encantan los tulipanes.
Tom made Mary go.,Tom hizo irse a Mary.
Tom made his bed.,Tom hizo su cama.
Tom made me weep.,Tom me hizo llorar.
Tom married Mary.,Tom se casó con Mary.
Tom may be right.,Tom puede estar en lo cierto.
Tom may be right.,Puede que Tom tenga razón.
Tom may be wrong.,Puede que Tom esté equivocado.
Tom moved closer.,Tom se acercó.
Tom must be sick.,Tom debe estar enfermo.
Tom needs a rest.,Tom necesita un descanso.
Tom needs a taxi.,Tomás necesita un taxi.
Tom needs to pay.,Tom necesita pagar.
Tom never cheats.,Tom nunca hace trampa.
Tom never shouts.,Tom nunca grita.
Tom never smiles.,Tom jamás sonríe.
Tom pinched Mary.,Tomás pellizcó a María.
Tom punched Mary.,Tom dio un puñetazo a Mary.
Tom put on a tie.,Tom se puso una corbata.
Tom quit smoking.,Tom dejó de fumar.
Tom reads slowly.,Tom lee lentamente.
Tom rescued Mary.,Tom rescató a Mary.
Tom said nothing.,Tom no dijo nada.
Tom sang to Mary.,Tom le cantó a Mary.
Tom sat on a log.,Tom se sentó en un tronco.
Tom saw a doctor.,Tom vio a un doctor.
Tom scolded Mary.,Tom regañó a Mary.
Tom seemed angry.,Tom parecía enojado.
Tom sells coffee.,Tomás vende café.
Tom shot at Mary.,Tom le disparó a Mary.
Tom shot himself.,Tom se pegó un tiro.
Tom slapped Mary.,Tom abofeteó a Mary.
Tom slugged Mary.,Tom dio un puñetazo a Mary.
Tom spoke French.,Tom habló en francés.
Tom spoke calmly.,Tom hablaba con calma.
Tom spoke calmly.,Tom habló con calma.
Tom stabbed Mary.,Tom apuñaló a Mary.
Tom stayed awake.,Tom permaneció despierto.
Tom stayed close.,Tom permaneció cerca.
