idioma,traduccion
This is the strongest dog that I have ever seen.,Este es el perro más fuerte que jamás haya visto.
This is your last chance to spend time with Tom.,Esta es tu última oportunidad de pasar tiempo con Tom.
This material will stand up to lots of washings.,Este material aguantará un montón de lavados.
This medicine should be taken every three hours.,Este medicamento debe ser tomado cada tres horas.
This morning the teacher got very angry with me.,La profesora se enojó mucho conmigo esta mañana.
This mountain is covered in snow all year round.,Esta montaña está cubierta de nieve durante todo el año.
This picture reminds me of when I was a student.,Esta foto me recuerda a mi época de estudiante.
This pigeon flew from San Francisco to New York.,Esta paloma voló de San Francisco a Nueva York.
This problem may be solved in a variety of ways.,Este problema puede ser resuelto de varias maneras.
This sentence seems to be grammatically correct.,Esta frase parece ser gramáticamente correcta.
This train gets to Chicago at 9 o'clock tonight.,Este tren llega a Chicago a las 9 de la noche.
This year unemployment will reach record levels.,Este año el desempleo alcanzará niveles récord.
Tiger Woods is famous for his skill as a golfer.,Tiger Woods es famoso por su habilidad como golfista.
"To make a tart, you need eggs, butter and sugar.","Para hacer una tarta, necesitas huevos, mantequilla y azúcar."
"To tell the truth, I don't want to go with them.","Para ser sincero, no quiero ir con ellos."
"To tell the truth, I don't want to go with them.","Para ser sincera, no quiero ir con ellos."
"To tell the truth, I don't want to go with them.","La verdad, no quiero ir con ellos."
Today there are many things made of sheet metal.,Hoy hay muchos objetos hechos con lámina de metal.
Tokyo will run short of water again this summer.,Este verano en Tokio nuevamente habrá sequía.
Tokyo will run short of water again this summer.,Tokio volverá a padecer sequía este verano.
Tom advised Mary to take better care of herself.,Tom le aconsejó a Mary que se cuidase mejor.
Tom always carries a map and compass in his bag.,Tom siempre lleva un mapa y un compás en su mochila.
Tom always leaves everything to the last minute.,Tomás siempre deja todo para último momento.
Tom and Mary are a perfect match for each other.,Tom y Mary son perfectos el uno para el otro.
Tom and Mary both noticed John at the same time.,"Ambos, Tom y Mary, se percataron de John al mismo tiempo."
Tom and Mary bought a house in Boston last year.,Tom y Mary se compraron una casa en Boston el año pasado.
Tom and Mary have started respecting each other.,Tom y Mary han comenzado a respetarse el uno al otro.
Tom and Mary usually speak French to each other.,Tom y María normalmente hablan francés entre ellos.
Tom and Mary were both shocked by what John did.,Tom y María estaban sorprendidos por lo que Juan hizo.
Tom and Mary were only married for a few months.,Tom y Mary sólo estuvieron casados por unos pocos meses.
Tom and Mary were seated across from each other.,Tom y María iban sentados el uno frente al otro.
Tom announced his candidacy for class president.,Tom anunció su candidatura a presidente de curso.
Tom arrived too early and Mary wasn't ready yet.,Tom llegó demasiado temprano y María aún no estaba lista.
Tom asked Mary if she wanted something to drink.,Tom le preguntó a Mary si quería algo para beber.
Tom asked Mary several times to open the window.,Tom le pidió varias veces a Mary que abriera la ventana.
Tom asked Mary what she wanted for her birthday.,Tom le preguntó a Mary qué quería para su cumpleaños.
Tom asked me if I knew who Mary's boyfriend was.,Tom me preguntó si acaso sabía quién es el novio de María.
Tom asked me what I thought was going to happen.,Tom me preguntó qué pensaba que iba a suceder.
Tom began to learn French about three years ago.,Tom comenzó a aprender francés hace aproximadamente tres años.
Tom can't believe Mary is really planning to go.,Tom no se puede creer que Mary esté planeando realmente ir.
Tom celebrated his twentieth birthday last week.,Tom celebró su vigésimo cumpleaños la semana pasada.
Tom cleaned the top of the table with a wet rag.,Tom limpió la parte superior de la mesa con un trapo húmedo.
Tom clearly doesn't understand French very well.,"Obviamente, Tom no entiende muy bien francés."
Tom couldn't figure out what Mary really wanted.,Tom no pudo comprender que quería realmente Mary.
"Tom couldn't have done that by himself, I think.","Tom no podría haberlo hecho solo, creo."
Tom couldn't make Mary understand what he meant.,Tom no podía hacer que Mary entendiera lo que trataba de decir.
Tom couldn't remember where he'd parked his car.,Tom no lograba acordarse de dónde había aparcado.
Tom couldn't understand anything that Mary said.,Tom no pudo entender nada de lo que dijo Mary.
Tom couldn't understand why Mary laughed at him.,Tom no podía entender por qué Mary se reía de él.
Tom definitely had problems with his oldest son.,Tom tenía definitivamente problemas con su hijo mayor.
Tom definitely had problems with his oldest son.,Definitivamente Tom tenía problemas con su hijo mayor.
Tom didn't come home last night. I hope he's OK.,"Anoche Tom no volvió a casa, espero que esté bien."
Tom didn't expect such a nice present from Mary.,Tom no esperaba un regalo tan lindo viniendo de María.
Tom didn't have enough time to do anything else.,Tom no tenía tiempo suficiente para hacer nada más.
Tom didn't have the courage to pull the trigger.,Tom no tuvo el valor de apretar el gatillo.
Tom didn't say how he was planning to get there.,Tom no dijo cómo planeaba llegar allí.
Tom didn't say how many times he had been there.,Tom no dijo cuántas veces había estado allí.
