idioma,traduccion
"I told you, but you didn't pay attention.","Te lo dije, pero no hiciste caso."
I took off my hat and entered the church.,Me quité el sombrero y entré a la iglesia.
I tried to find out her telephone number.,Intenté encontrar el número de teléfono de ella.
I tried to focus my attention on reading.,Traté de concentrarme en la lectura.
I try to save 10% of my wages each month.,Cada mes intento ahorrar el 10% de mi sueldo.
I understand it's going to get hot again.,Parece que está volviendo a hacer calor.
I used to play tennis with him on Sunday.,Solía jugar al tenis con él los domingos.
I usually take a shower before breakfast.,Usualmente me baño antes del desayuno.
I want Tom to think he's smarter than us.,Quiero que Tom piense que es más listo que nosotros.
I want a knife to sharpen my pencil with.,Quiero un navaja para afilar mi lápiz.
I want an enlargement of this photograph.,Quiero una ampliación de esta fotografía.
I want to answer the last question first.,Quiero contestar primero la última pregunta.
I want to ask them when their big day is.,Quiero preguntarles cuándo es su gran día.
"I want to ask you something, Ms. Ionescu.","Señorita Ionescu, deseo preguntarle algo."
I want to eat something that isn't sweet.,Quiero comer algo que no esté dulce.
I want to examine the body of the victim.,Quiero examinar el cuerpo de la víctima.
I want to know what happened to your car.,Quiero saber qué le pasó a tu auto.
I want to spend more time alone with you.,Quiero pasar más tiempo a solas contigo.
I want what you owe me and I want it now.,Quiero lo que me debes y lo quiero ahora.
I want you to get the help that you need.,Quiero que recibas la ayuda que necesitas.
I want you to go back to Boston tomorrow.,Quiero que regreses a Boston mañana.
I want you to know that you can trust me.,Quiero que sepas que podés confiar en mí.
I want you to stay exactly where you are.,Quiero que te quedes exactamente en donde estás.
I want you to stay here until I get back.,Quiero que te quedes aquí hasta que yo vuelva.
I want you to step back inside that room.,Quiero que te devuelvas a esa habitación.
I wanted Tom to know what happened to us.,Quería que Tom supiera lo que nos sucedió.
I wanted to make a good first impression.,Quería causar una buena primera impresión.
I was about to ask you the same question.,Te estaba por hacer la misma pregunta.
I was about to leave when the phone rang.,Estaba a punto de salir cuando sonó el teléfono.
I was about to leave when you telephoned.,Estaba a punto de irme cuando llamaste por teléfono.
I was accused of eating the boss's lunch.,Me acusaron de comerme el almuerzo del jefe.
I was afraid of getting lost in the dark.,Tenía miedo de perderme en la oscuridad.
I was asked a question I couldn't answer.,Me hicieron una pregunta que no pude responder.
I was attacked and robbed on my way home.,Me atacaron y robaron de camino a casa.
"I was going out, when the telephone rang.",Iba a salir cuando sonó el teléfono.
I was leaving for Paris the next morning.,Yo salía hacia París la mañana siguiente.
I was moved by her love for other people.,Yo quedé conmovido por su amor hacia las demás personas.
I was tired today so I went to bed early.,"Hoy estaba cansado, por eso me fui temprano a la cama."
I was too sick to go to school yesterday.,Ayer estaba demasiado enfermo para ir a la escuela.
I was very ill at ease with those people.,Estaba muy a disgusto con aquella gente.
I was very nervous as the plane took off.,Estaba muy nervioso cuando despegó el avión.
I was very nervous as the plane took off.,Estaba muy nerviosa cuando despegó el avión.
"I was very tired, so I went to bed early.","Estaba muy cansado, de manera que me fui temprano a la cama."
I was watching TV at this time yesterday.,Ayer a esta hora yo estaba viendo la tele.
I wasn't conscious of anyone watching me.,No era consciente de que alguien me estuviera observando.
I wasn't in time for school this morning.,No llegué a tiempo al colegio esta mañana.
I wasn't on time for school this morning.,No llegué a tiempo al colegio esta mañana.
I watched the game from beginning to end.,Vi el juego de principio a fin.
I will ask him where he went last Sunday.,Le preguntaré a dónde fue el domingo pasado.
I will ask him where he went last Sunday.,Voy a preguntarle adónde fue el domingo pasado.
I will badly miss you if you leave Japan.,Te echaré muchísimo de menos si te vas de Japón.
I will be all tied up tomorrow afternoon.,Mañana en la tarde estaré ocupado.
I will be back in less than five minutes.,Estaré de vuelta en menos de cinco minutos.
I will check what time the train arrives.,Voy a revisar a que hora llega el tren.
I will do everything in my power to help.,Haré todo lo que esté en mi poder para ayudar.
I will finish reading the book in a week.,Terminaré de leer el libro en una semana.
"I will go, provided the weather is clear.","Si hace buen tiempo, voy."
I will just hang around here for a while.,Voy a estar por aquí un rato.
I will sell it as soon as I find a buyer.,Lo venderé en cuanto encuentre a un comprador.
I will take care of you when you are old.,Yo me haré cargo de ti cuando seas viejo.
I wish I could let Tom know we're coming.,Desearía poder avisarle a Tom que estamos llegando.
I wish I could think of something to say.,Ojalá pudiera pensar en algo que decir.
I wish I had enough money to buy the car.,Desearía tener suficiente dinero como para comprar un auto.
I wish I had the chance to learn Russian.,Ojalá tuviera la oportunidad de aprender ruso.
I wish I hadn't left my windows unlocked.,Desearía no haber dejado mis ventanas sin echar el cerrojo.
I wish I wouldn't have to meet you again.,Ojalá no te tenga que encontrar de nuevo.
I wonder if Tom realizes how lonely I am.,Me pregunto si Tom se dará cuenta de cuán solo estoy.
I wonder if life exists on other planets.,Me pregunto si existe vida en otros planetas.
I wonder what all of them have in common.,Me pregunto que tienen en común todos ellos.
I worked in Rio de Janeiro for two years.,Trabajé en Rio de Janeiro durante dos años.
I worked more than eight hours yesterday.,Ayer estuve trabajando más de ocho horas.
I would appreciate hearing from you soon.,Apreciaría oír de ti pronto.
I would like to be a pilot in the future.,En el futuro me gustaría ser un piloto.
I would like to talk to him face to face.,Me gustaría hablar con él cara a cara.
I would rather feed my dog before we eat.,Preferiría alimentar a mi perro antes de que comamos.
I'd like a word with Tom concerning Mary.,Me gustaría tener unas palabras con Tom acerca de Mary.
I'd like to find out how this got broken.,Quisiera averiguar cómo se rompió esto.
I'd like to reserve a seat on this train.,Quisiera reservar un asiento en este tren.
I'd like to send this by registered mail.,"Esto por correo certificado, por favor."
I'd like to speak with someone in charge.,Me gustaría hablar con algún encargado.
I'd rather go to the mountains in summer.,Prefiero ir a la montaña en verano.
I'll be counting on you to bring a salad.,Confío en que traigas la ensalada.
I'll be in trouble if the story gets out.,Estaré en problemas si la historia se filtra.
I'll bring the book back to you tomorrow.,Te traeré el libro de vuelta mañana.
I'll call them tomorrow when I come back.,Los llamaré cuando regrese mañana.
I'll call them tomorrow when I come back.,Les llamaré mañana cuando regrese.
I'll follow you to the ends of the earth.,Te seguiré hasta el fin del mundo.
I'll get you out of this awful situation.,Te sacaré de esta terrible situación.
I'll give him your message when he comes.,Le daré tu mensaje cuando llegue.
I'll give this apple to whoever wants it.,Daré esta manzana a quien la quiera.
I'll go out and buy one as soon as I can.,Iré a comprar uno tan pronto como pueda.
I'll have everything I want someday soon.,Algún día pronto tendré todo lo que quiero.
I'll have to tell her the truth tomorrow.,Tendré que decirle la verdad mañana.
I'll just go for a walk to clear my head.,Voy a ir a dar un paseo para despejar mi cabeza.
I'll lend you some books of my brother's.,Le prestaré algunos libros de mi hermano.
I'll let you know as soon as I get there.,Así que llegue le avisaré.
I'll stand by you through thick and thin.,Estaré a tu lado en lo bueno y lo malo.
I'm afraid he will never admit his guilt.,Me temo que él nunca admitirá su culpa.
I'm available in case you need something.,Me pongo a su disposición en caso de que necesite algo.
"I'm busy today, otherwise I would accept.","Estoy ocupado hoy, de otra manera, aceptaría."
"I'm busy today, otherwise I would accept.","Estoy ocupada hoy, de otra manera, aceptaría."
I'm double-parked. Could you hurry it up?,"He aparcado en doble fila, ¿podría darse prisa?"
I'm double-parked. Could you hurry it up?,"He aparcado en doble fila, ¿puedes darte prisa?"
I'm double-parked. Could you hurry it up?,"He aparcado en doble fila, ¿podéis daros prisa?"
I'm double-parked. Could you hurry it up?,Estacioné en doble fila. ¿Podrías apurarte?
I'm happy Tom managed to change his name.,Estoy contento de que Tom lograra cambiar su nombre.
I'm just about finished with my homework.,Estoy casi listo con mi tarea.
I'm looking at my reflection in the lake.,Miro mi reflejo en el lago.
I'm more afraid of Tom than I am of Mary.,Tom me da más miedo que Mary.
I'm more afraid of Tom than I am of Mary.,Le tengo más miedo a Tom que a Mary.
I'm more afraid of them than I am of you.,Le tengo más miedo a ellos del que le tengo a ustedes.
I'm not always going to be there for you.,No siempre voy a estar ahí para ti.
I'm not going to explain it to you again.,No te lo voy a volver a explicar.
I'm not going to explain that to you now.,No te lo voy a explicar ahora.
I'm not happy with how things turned out.,No estoy contento de cómo salieron las cosas.
I'm not sure whether Tom heard it or not.,No estoy seguro de si Tom lo oyó o no.
I'm not the one who needs to lose weight.,No soy yo quien necesita perder peso.
I'm not used to staying up late at night.,No estoy acostumbrado a quedarme hasta tarde de noche.
I'm proud of my father being a good cook.,Estoy orgulloso de que mi padre sea un buen cocinero.
I'm racking my brains to find a solution.,Me estoy devanando los sesos para encontrar una solución.
I'm reading the Bible for the first time.,Estoy leyendo la Biblia por primera vez.
I'm sick and tired of all this bickering.,Estoy chato de todas sus riñas.
I'm sick of listening to your complaints.,Estoy cansado de escuchar tus quejas.
I'm sorry I couldn't write to you sooner.,Lamento no haber podido escribirte antes.
I'm sorry I have no pencil to write with.,"Lo siento, no tengo un lápiz para escribir."
I'm sorry that you couldn't come with us.,Lamento que no hayas podido venir con nosotros.
I'm sorry to hear that you got a divorce.,Lamento oír que te divorciaste.
"I'm sorry, I don't think I'll be able to.","Lo siento, no creo que yo pueda."
I'm sure it was just a terrible accident.,Estoy seguro de que fue tan sólo un desafortunado accidente.
I'm sure there's a better way to do that.,Estoy seguro de que hay una mejor manera de hacer eso.
I'm sure you're going to like this lunch.,Estoy seguro de que les gustará el almuerzo.
I'm surprised Tom doesn't have a bicycle.,Me sorprende que Tom no tenga una bicicleta.
I'm under no obligation to tell you that.,No estoy obligado a decirte eso.
"I'm very sorry, but we can't let you out.","Lo lamento mucho, pero no podemos dejarte salir."
"I'm very sorry, but we can't let you out.","Lo lamento mucho, pero no podemos dejarlos salir."
I'm walking in the park with my children.,Paseo en el parque con mis hijos.
I'm wearing my swimsuit under my clothes.,Llevo mi traje de baño debajo de la ropa.
I've already memorized your phone number.,Ya he memorizado tu número de teléfono.
I've been trying to lose a little weight.,Estuve intentando bajar un poco de peso.
I've been under a lot of pressure lately.,He estado bajo mucha presión últimamente.
I've considered that possibility as well.,He considerado esa posibilidad también.
I've got exactly 13 dollars in my pocket.,Tengo exactamente 13 dólares en el bolsillo.
I've got something else I want you to do.,Tengo algo más que quiero que hagas.
I've loved you from the moment I saw you.,Te amo desde el momento en que te vi.
I've never had such a large sum of money.,Nunca he tenido tanto dinero.
I've never heard her speak ill of others.,Nunca la he oído hablar mal de los demás.
I've never heard him speak ill of others.,Nunca le he oído hablar mal de nadie.
I've never seen anything quite like this.,Nunca he visto nada como esto.
I've rented a room in Boston for a month.,He alquilado una habitación en Boston durante un mes.
I've seen my dog sneeze but never my cat.,"He visto estornudar a mi perro, pero nunca a mi gato."
I've taken everything into consideration.,Tomé todo en consideración.
I've written a couple of Christmas songs.,He escrito un par de canciones navideñas.
"If I can't trust myself, who can I trust?","Si no puedo confiar en mí mismo, ¿en quién puedo confiar entonces?"
"If I miss the train, I'll get on the bus.","Si pierdo el tren, tomaré el bus."
"If I were you, I would apply for the job.","Si yo fuera tú, postularía al trabajo."
"If I were you, I wouldn't have done that.",Yo no hubiera hecho eso en su lugar.
"If I were you, I wouldn't have done that.","Si yo fuera tú, no habría hecho eso."
"If Tom does that, he's sure to regret it.","Si Tom hace eso, seguro que lo lamentará."
"If Tom would eat less, he'd be healthier.","Si Tom comiera menos, estaría más sano."
"If he's fluent in English, I'll hire him.","Si habla inglés con fluidez, le contrataré."
"If it happens again, we want to be ready.","Si ocurre de nuevo, queremos estar preparados."
"If it is raining, I won't go out tonight.","Si llueve, esta noche no salgo."
"If it rains tomorrow, we'll not go there.","Si llueve mañana, no vamos a ir allá."
If only I had known the answer yesterday!,¡Si yo solo hubiera sabido la respuesta ayer!
"If possible, I would like to go home now.","Si es posible, quisiera irme a casa ahora."
"If you add three and four, you get seven.","Si sumas tres y cuatro, te da siete."
"If you don't kill them, they'll kill you.","Si no los matas, ellos te matarán."
"If you go fishing tomorrow, I'll go, too.","Si vas a pescar mañana, yo también voy."
"If you knew, you'd tell me, wouldn't you?","Si supieras, me lo dirías, ¿no?"
"If you need me, I'll be somewhere around.","Si me necesitas, estaré porái."
"If you want your money back, just say so.","Si quieres tu dinero de vuelta, solo dilo."
"In 1950, North Korea invaded South Korea.","En 1950, Corea del Norte invadió a Corea del Sur."
"In case of an emergency, call the police.","En caso de emergencia, llama a la policía."
"In the woods, she met with two strangers.",Ella se encontró con dos extraños en el bosque.
Is anything missing from your pocketbook?,¿Le falta a usted algo en su cartera?
Is it more fun being a child or an adult?,¿Es más divertido ser un niño o un adulto?
Is it possible to get to Boston by train?,¿Se puede ir a Boston en tren?
Is it true that you were on TV yesterday?,¿Es cierto que estuviste en televisión ayer?
Is the zither a hard instrument to learn?,¿Es la cítara un instrumento difícil de aprender?
Is there anything else you want me to do?,¿Hay algo más que quieras que haga?
Is there anything to drink in the fridge?,¿Hay algo de beber en la nevera?
Isn't there anything you want to tell me?,¿No hay algo que quieras decirme?
Isn't there something you can do to help?,¿No hay algo que puedas hacer para ayudar?
It doesn't bother me to walk in the rain.,No me molesta caminar bajo la lluvia.
It doesn't hurt as much as it did before.,No duele tanto como antes.
It doesn't matter whether you win or not.,Ganar o perder no es la cuestión.
It has been ten years since I left Japan.,Hace diez años que dejé Japón.
It has been ten years since I left Japan.,Han pasado diez años desde que salí de Japón.
It is a little after a quarter to eleven.,Es un poco más tarde de las once menos cuarto.
It is dangerous to cross that old bridge.,Es peligroso cruzar ese viejo puente.
