idioma,traduccion
My husband is always reading in bed.,Mi marido siempre está leyendo en la cama.
My husband is in high spirits today.,Mi marido está de muy buen humor hoy.
My mother appears young for her age.,"Para la edad que tiene, mi madre parece más joven."
My mother asked me to set the table.,Mi madre me pidió que pusiera la mesa.
My mother bakes bread every morning.,Mi madre hornea pan todas las mañanas.
My older brother knows how to drive.,Mi hermano mayor sabe conducir.
My older sister finally got married.,Al final mi hermana mayor se casó.
My parents don't like my girlfriend.,A mis padres no les gusta mi novia.
My parents had an arranged marriage.,El de mis padres fue un matrimonio concertado.
My parents picked me up from school.,Mis padres me recogieron de la escuela.
My presence seems to be unnecessary.,Mi presencia parece ser prescindible.
My sister has become a good pianist.,Mi hermana se convirtió en una gran pianista.
My sister has very good handwriting.,Mi hermana tiene muy buena letra.
My sister insisted on going with me.,Mi hermana insistió en ir conmigo.
My sister is cooking in the kitchen.,Mi hermana está cocinando en la cocina.
My sister plays the piano every day.,Mi hermana toca el piano todos los días.
My son is not old enough for school.,Mi hijo aún no tiene edad para ir a la escuela.
My tastes differ greatly from yours.,Mis gustos son muy distintos a los suyos.
My uncle has a deep interest in art.,Mi tío tiene un gran interés por el arte.
My uncle lives in the east of Spain.,Mi tío vive en el este de España.
My wife gets on well with my mother.,Mi esposa se lleva bien con mi madre.
My wife is suffering from pneumonia.,Mi esposa tiene neumonitis.
My wife still hasn't met my parents.,Mi esposa aún no conoce a mis padres.
Nagoya lies between Tokyo and Osaka.,Nagoya queda entre Tokio y Osaka.
"Next summer, I want to go to Hawaii.","El próximo verano, quiero ir a Hawái."
"Next summer, I want to go to Hawaii.",El verano que viene quiero ir a Hawái.
Nixon was about to become president.,Nixon estuvo a punto de ser presidente.
No gift is more precious than trust.,Ningún regalo es más precioso que la confianza.
"No matter what you do, do your best.","Sin importar lo que hagas, da lo mejor."
No one believes that he is innocent.,Nadie cree que es inocente.
No one but Tom handed in the report.,Sólo Tom entregó el informe.
No one can keep me from going there.,Nadie puede impedir que vaya.
No one knew how much Tom loved Mary.,Nadie sabía cuanto amaba Tom a Mary.
No one knows if he loves her or not.,Nadie sabe si él la quiere o no.
No one knows what's really going on.,Nadie sabe qué está pasando en verdad.
No one really knows what's going on.,Nadie sabe en realidad qué está pasando.
No one really knows what's going on.,Realmente nadie sabe qué está pasando.
No one speaks that language anymore.,Ya nadie habla ese idioma.
No one speaks this language anymore.,Ya nadie habla esta lengua.
No one wants to talk to Tom anymore.,Nadie quiere hablar más con Tom.
No other boy in the class is taller.,Ningún otro chico de la clase es más alto.
Nobody knows what has become of him.,Nadie sabe qué ha sido de él.
Nobody said you couldn't go fishing.,Nadie dijo que no podías ir a pescar.
Nobody thinks Tom will win the race.,Nadie cree que Tom gane la carrera.
None of these games are interesting.,Ninguno de estos juegos es interesante.
None of us are opposed to his ideas.,Ninguno de nosotros está en contra de sus ideas.
Noodles are usually made from wheat.,Los fideos suelen estar hechos de trigo.
