idioma,traduccion
Christmas is December 25th.,La Navidad es el 25 de Diciembre.
Circumstances have changed.,Las circunstancias han cambiado.
Classes begin next Tuesday.,Las clases empiezan el martes que viene.
Classes started last month.,Las clases comenzaron el mes pasado.
Classes will resume Monday.,Las clases se retomarán el lunes.
"Come here, the both of you.",Vengan aquí ustedes dos.
"Come here, the both of you.",Vengan aquí los dos.
Come on over to have a try.,Ven e inténtalo.
"Come on, don't be a coward!",¡Anda! ¡No sea cobarde!
"Come on, shake hands, boys!","¡Ea, dense la mano, muchachos!"
Come over here and join us.,Ven aquí y únetenos.
Consider the problem again.,Considere de nuevo el problema.
Could I ask a favor of you?,¿Puedo pedirte un favor?
Could I get your autograph?,¿Me puede dar un autógrafo?
Could I have a screwdriver?,¿Puedo coger un destornillador?
Could I have some more tea?,¿Podría pedir un poco más de té?
Could you be more specific?,¿Podrías ser más específico?
"Could you fix this, please?","¿Podés arreglarlo?, por favor."
Could you give me the salt?,¿Puede pasarme la sal?
Could you lend me the book?,¿Podrías prestarme el libro?
Could you make room for me?,¿Me puedes hacer sitio?
Could you pass me the salt?,¿Me pasas la sal?
Could you read this for me?,¿Podrías leer esto por mí?
Could you send it by email?,¿Podrías enviarlo por correo electrónico?
"Could you spell it, please?","¿Podría deletrearlo, por favor?"
"Could you stand up, please?","¿Podrías levantarte, por favor?"
Culture destroys languages.,La cultura destruye a las lenguas.
Destiny is sometimes cruel.,A veces el destino es cruel.
Did Tom give you something?,¿Te ha dado algo Tom?
Did all this really happen?,¿Realmente pasó todo esto?
Did it rain here yesterday?,¿Ayer llovió aquí?
Did she go to that concert?,¿Ella fue a ese concierto?
Did someone follow us here?,¿Alguien nos siguió hasta acá?
Did something happen today?,¿Pasó algo hoy?
Did you bring a hair dryer?,¿Trajiste un secador?
Did you bring a hair dryer?,¿Trajeron un secador de pelo?
Did you call me last night?,¿Me telefoneaste anoche?
Did you call me last night?,¿Tú me llamaste anoche?
Did you find your car keys?,¿Encontraste las llaves del auto?
Did you forget to buy eggs?,¿Se os ha olvidado comprar huevos?
Did you forget to buy eggs?,¿Se te ha olvidado comprar huevos?
Did you forget to buy eggs?,¿Te olvidaste de comprar huevos?
Did you go to school today?,¿Fuiste al colegio hoy?
Did you have a good flight?,¿Tuvo un buen vuelo?
Did you have a good summer?,¿Pasaste un buen verano?
Did you have a nice summer?,¿Tuviste un buen verano?
Did you mean what you said?,¿Era en serio lo que dijiste?
Did you open all the boxes?,¿Abriste todas las cajas?
Did you pay for everything?,¿Pagaste por todo?
Did you receive my letters?,¿Te llegaron mis cartas?
Did you receive my package?,¿Recibiste mi paquete?
Did you receive the letter?,¿Recibiste la carta?
Did you request a new desk?,¿Tú solicitaste un nuevo escritorio?
Did you tell them anything?,¿Les dijiste algo a ellos?
Did you turn the stove off?,¿Apagaste la cocina?
Did you turn the stove off?,¿Apagaste la estufa?
Didn't you hear the scream?,¿No has oído ese grito?
Do I have to come home now?,¿Tengo que volver a casa ahora?
Do I have to make a speech?,¿Debo dar un discurso?
Do I look like a terrorist?,¿Luzco como un terrorista?
Do I look like a terrorist?,¿Me veo como un terrorista?
Do I need to make a speech?,¿Debo pronunciar un discurso?
Do all of you speak French?,¿Todos ustedes hablan francés?
Do we need them that badly?,¿Ellos nos hacen muchísima falta?
Do we need to wait for her?,¿Necesitamos esperarla?
Do you accept credit cards?,¿Acepta tarjeta de crédito?
Do you accept credit cards?,¿Aceptáis tarjetas de créditos?
Do you already have a plan?,¿Ya tienes un plan?
Do you believe in miracles?,¿Creés en los milagros?
Do you believe in miracles?,¿Crees en los milagros?
Do you come here every day?,¿Vienes aquí todos los días?
Do you drink tea or coffee?,¿Tomas té o café?
Do you drink tea or coffee?,¿Bebe usted té o café?
Do you go to school by bus?,¿Vas al colegio en autobús?
Do you have a cheaper room?,¿Tenés una habitación más económica?
Do you have a cheaper room?,¿Tiene una habitación más barata?
Do you have a crush on Tom?,¿Estás enamorada de Tom?
Do you have a fishing boat?,¿Tienes un bote de pesca?
Do you have a handkerchief?,¿Tienes un pañuelo?
Do you have a mobile phone?,¿Tenés celular?
Do you have a twin brother?,¿Tienes un hermano gemelo?
Do you have an appointment?,¿Tiene cita?
Do you have any complaints?,¿Tienes alguna queja?
Do you have any experience?,¿Tienes alguna experiencia?
Do you have fire insurance?,¿Tienes seguro contra incendios?
Do you have fire insurance?,¿Tiene usted seguro contra incendios?
Do you have to do that now?,¿Acaso debes hacerlo ahora?
Do you have to do that now?,¿Tienes que hacer eso ahora?
Do you hear from her often?,¿Oyes de ella a menudo?
Do you know Tom personally?,¿Conoces a Tom personalmente?
Do you know Tom personally?,¿Conoces a Tom en persona?
Do you know Tom personally?,¿Lo conocen a Tomás personalmente?
Do you know Tom personally?,¿Lo conocés a Tomás personalmente?
Do you know Tom personally?,¿Lo conoces a Tomás personalmente?
Do you know Tom personally?,¿Usted lo conoce a Tomás personalmente?
Do you know a good dentist?,¿Conoces a un buen dentista?
Do you know how to do that?,¿Sabes como hacerlo?
Do you know how to do this?,¿Sabés cómo hacerlo?
Do you know much about Tom?,¿Sabe usted mucho acerca de Tom?
Do you know what Tom wants?,¿Sabes lo que quiere Tom?
Do you know what day it is?,¿Sabes qué día es?
Do you know where he lives?,¿Sabes dónde vive?
Do you know where he lives?,¿Sabéis dónde vive?
Do you know where she went?,¿Sabes adónde fue?
Do you like IKEA furniture?,¿Te gustan los muebles del IKEA?
Do you like chocolate milk?,¿Te gusta la leche con chocolate?
Do you like figure skating?,¿Te gusta el patinaje artístico?
Do you like my new haircut?,¿Te gusta mi nuevo corte de pelo?
Do you like my new haircut?,¿Os gusta mi nuevo corte de pelo?
Do you like playing sports?,¿Te gusta hacer deporte?
Do you like playing sports?,¿Te gusta practicar algún deporte?
Do you like these earrings?,¿Te gustan esos pendientes?
Do you like your coworkers?,¿Te gustan tus colegas?
Do you need to leave today?,¿Necesitas marcharte hoy?
Do you need to leave today?,¿Es necesario que te marches hoy?
Do you often hear from him?,¿Tienes noticias de él a menudo?
Do you often travel abroad?,¿Va usted a menudo al extranjero?
Do you plan to go overseas?,¿Tienes previsto ir al extranjero?
Do you pluck your eyebrows?,¿Te depilas tus cejas?
Do you really have no home?,¿De verdad no tienes hogar?
Do you really want to know?,¿De verdad quieres saber?
Do you really want to know?,¿Realmente querés saber?
Do you really want to know?,¿Ustedes realmente quieren saber?
Do you really want to walk?,¿De verdad quieres caminar?
Do you remember how we met?,¿Te acordás cómo nos conocimos?
Do you remember how we met?,¿Recuerdas cómo nos conocimos?
Do you remember that store?,¿Recuerdas esa tienda?
Do you talk to your plants?,¿Tú le hablas a tus plantas?
Do you think I'm beautiful?,¿Tú crees que soy hermoso?
Do you think I'm beautiful?,¿Te parezco bonita?
Do you think I'm beautiful?,¿Pensáis que soy guapa?
Do you think Tom is guilty?,¿Pensás que Tom es culpable?
Do you think Tom is hungry?,¿Vos creés que Tom tiene hambre?
Do you think Tom is untidy?,¿Crees que Tom es desordenado?
Do you think fish can hear?,¿Creés que los peces pueden oír?
Do you think it's my fault?,¿Piensas que sea mi culpa?
Do you think it's my fault?,¿Creéis que es culpa mía?
Do you want me to call Tom?,¿Querés que llame a Tom?
Do you want me to continue?,¿Quieres que continue?
Do you want me to hate you?,¿Quieres que te odie?
Do you want me to help you?,¿Quieres que yo te ayude?
Do you want me to help you?,¿Quieres que te ayude?
Do you want my help or not?,¿Querés mi ayuda o no?
Do you want something else?,¿Querés algo más?
Do you want something else?,¿Quieres algo más?
Do you want the job or not?,¿Querés el trabajo o no?
Do you want to argue again?,¿Quieres discutir de nuevo?
Do you want to buy a shirt?,¿Quiere usted comprar una camisa?
Do you want to do it again?,¿Quieres hacerlo de nuevo?
Do you want to do this now?,¿Quieres hacer esto ahora?
Do you want to get married?,¿Quieres casarte?
Do you want to go shopping?,¿Quieres ir de compras?
Do you want to leave today?,¿Quieres marcharte hoy?
Do you want to leave today?,¿Queréis iros hoy?
Do you want to see my room?,¿Quieres ver mi habitación?
Do you want to talk to Tom?,¿Querés hablar con Tom?
Do you want us to kill Tom?,¿Querés que matemos a Tom?
Do you wish to do that now?,¿Quieres hacerlo ahora?
Do you wish to do that now?,¿Os apetece hacerlo ahora?
Doctors removed the bullet.,Los doctores extrajeron la bala.
Does Tom feel the same way?,¿Tom siente lo mismo?
Does Tom have a girlfriend?,¿Tom tiene novia?
Does Tom know how to dance?,¿Tom sabe bailar?
Does Tom know how to dance?,¿Sabe Tom cómo bailar?
Does anybody have a pencil?,¿Alguien tiene un lápiz?
Does anyone speak Japanese?,¿Alguien habla japonés?
Does it hurt when you chew?,¿Te duele cuando masticas?
Does it hurt when you chew?,¿Te duele cuando masticás?
Does money bring happiness?,¿El dinero trae la felicidad?
Does she work in this city?,¿Ella trabaja en esta ciudad?
Doesn't that sound serious?,¿No suena eso grave?
Doing that'll be very easy.,Hacer eso será muy fácil.
Dolphins are good swimmers.,Los delfines son buenos nadadores.
Don't be a backseat driver.,No des indicaciones ni consejos que no te han pedido.
Don't be a backseat driver.,No conduzcas desde el asiento trasero.
Don't believe what he says.,No te creas lo que dice.
Don't bother me about that.,No me molestes sobre eso.
Don't buy things on credit.,No compres cosas a crédito.
"Don't drink too much, okay?","No bebas demasiado, ¿de acuerdo?"
Don't fail to call me back.,No te olvides de llamarme.
Don't get mixed up in that.,No se mezcle usted en eso.
Don't get on the train yet.,No suba al tren todavía.
Don't give Tom your number.,No le des mi número a Tom.
Don't give Tom your number.,No le deis mi número a Tom.
Don't give Tom your number.,No le dé mi número a Tom.
Don't give Tom your number.,No le den mi número a Tom.
Don't judge by appearances.,No juzgues por las apariencias.
Don't judge me too harshly.,No me juzgues con demasiada severidad.
Don't judge me too harshly.,No me juzguéis con demasiada severidad.
Don't judge me too harshly.,No me juzgue con demasiada severidad.
Don't judge me too harshly.,No me juzguen con demasiada severidad.
Don't laugh at his mistake.,No te rías de su error.
Don't let Tom distract you.,No dejes que Tom te distraiga.
Don't lose sleep over that.,No pierdas el sueño por eso.
Don't make any loud noises.,No hagas mucho ruido.
Don't make me say it again.,No me hagas decirlo otra vez.
Don't make me say it again.,No me hagan decirlo otra vez.
Don't open the present yet.,No abras el regalo aún.
Don't pay attention to him.,No le hagas caso.
Don't pay attention to him.,No le prestes atención.
Don't point your gun at me.,No me apuntes con tu arma.
Don't sit down on the sofa.,No te sientes en el sofá.
Don't sit down on the sofa.,No se sienten en el sofá.
Don't tell Tom you're lost.,No le digas a Tom que te has perdido.
Don't tell me you stole it.,No me digas que lo robaste.
Don't try to manipulate me.,No intentes manipularme.
Don't worry about the past.,No te preocupes por el pasado.
Don't you dare answer that.,No te atrevas a contestar eso.
Don't you have any friends?,¿No tienes ningún amigo?
Don't you tell me to relax.,¡No me diga que me relaje!
Don't you tell me to relax.,¡No me digas que me relaje!
Don't you want to know why?,¿No quieres saber por qué?
Don't you want to know why?,¿No quiere saber por qué?
Draw a picture of yourself.,Haz un dibujo de ti mismo.
Dreams sometimes come true.,A veces los sueños se hacen realidad.
Dry your face with a towel.,Sécate la cara con una toalla.
Each of them has a bicycle.,Cada uno de ellos tiene una bicicleta.
Eat whichever one you like.,Cómete el que te guste.
Eggs are sold by the dozen.,Los huevos se venden por docenas.
Either he is wrong or I am.,"O él está equivocado, o yo."
Electricity is very useful.,La electricidad es muy útil.
English is not spoken here.,Aquí no se habla inglés.
Eternal love doesn't exist.,El amor eterno no existe.
Even a child can answer it.,Incluso un niño puede responderlo.
Even a child can read this.,Hasta un niño puede leer eso.
Every ship needs a captain.,Todo barco necesita un capitán.
Every ship needs an anchor.,Cada barco necesita un ancla.
Everybody looked up to him.,Todos lo admiraban.
Everybody was in agreement.,Todo el mundo estuvo de acuerdo.
Everyone but Tom was there.,Todos estaban presentes excepto Tom.
Everyone but Tom was there.,"Todos estaban allí, menos Tom."
Everyone except me knew it.,Lo sabían todos menos yo.
Everyone is staring at Tom.,Todo el mundo está mirando a Tom.
Everyone knows you're rich.,Todo el mundo sabe que eres rico.
Everyone knows you're rich.,Todo el mundo sabe que eres rica.
Everyone knows you're rich.,Todos saben que eres rico.
Everyone knows you're rich.,Todos saben que eres rica.
Everyone was looking at me.,Todos me estaban mirando.
Everything I said was true.,Todo lo que dije era verdad.
Everything is in place now.,Todo volvió a su lugar.
Everything was going great.,Todo iba estupendo.
Everything will be perfect.,Todo será perfecto.
Everything's all right now.,Ahora está todo bien.
Everything's all right now.,Todo está bien ahora.
Everything's in order here.,Aquí está todo en orden.
Everything's under control.,Todo está bajo control.
Exactly what happened here?,¿Exactamente qué pasó aquí?
"Excuse me, what time is it?","Perdone, ¿tiene hora?"
